Variant number: 0,  Outcomes: White win: 31%,  Draw: 44%,  Black win: 25%,  Move 5 Entropy: 7.2,  Move 10 Entropy: 10.5,  Move 20 Entropy: 19.8
Variant number: 1,  Outcomes: White win: 28%,  Draw: 51%,  Black win: 20%,  Move 5 Entropy: 8.8,  Move 10 Entropy: 12.8,  Move 20 Entropy: 23.2
Variant number: 2,  Outcomes: White win: 29%,  Draw: 51%,  Black win: 20%,  Move 5 Entropy: 10.1,  Move 10 Entropy: 15.2,  Move 20 Entropy: 22.9
Variant number: 3,  Outcomes: White win: 28%,  Draw: 52%,  Black win: 20%,  Move 5 Entropy: 10.6,  Move 10 Entropy: 15.0,  Move 20 Entropy: 22.6
Variant number: 4,  Outcomes: White win: 31%,  Draw: 47%,  Black win: 22%,  Move 5 Entropy: 10.3,  Move 10 Entropy: 15.3,  Move 20 Entropy: 22.2
Variant number: 5,  Outcomes: White win: 26%,  Draw: 54%,  Black win: 20%,  Move 5 Entropy: 11.9,  Move 10 Entropy: 17.3,  Move 20 Entropy: 23.1
Variant number: 6,  Outcomes: White win: 30%,  Draw: 49%,  Black win: 22%,  Move 5 Entropy: 7.0,  Move 10 Entropy: 11.6,  Move 20 Entropy: 21.1
Variant number: 7,  Outcomes: White win: 29%,  Draw: 48%,  Black win: 23%,  Move 5 Entropy: 9.8,  Move 10 Entropy: 15.1,  Move 20 Entropy: 20.5
Variant number: 8,  Outcomes: White win: 34%,  Draw: 47%,  Black win: 19%,  Move 5 Entropy: 10.8,  Move 10 Entropy: 15.0,  Move 20 Entropy: 23.5
Variant number: 9,  Outcomes: White win: 28%,  Draw: 50%,  Black win: 21%,  Move 5 Entropy: 11.3,  Move 10 Entropy: 16.4,  Move 20 Entropy: 21.8
Variant number: 10,  Outcomes: White win: 24%,  Draw: 53%,  Black win: 23%,  Move 5 Entropy: 10.0,  Move 10 Entropy: 15.5,  Move 20 Entropy: 20.8
Variant number: 11,  Outcomes: White win: 30%,  Draw: 48%,  Black win: 22%,  Move 5 Entropy: 10.3,  Move 10 Entropy: 13.0,  Move 20 Entropy: 20.7
Variant number: 12,  Outcomes: White win: 32%,  Draw: 43%,  Black win: 26%,  Move 5 Entropy: 10.5,  Move 10 Entropy: 15.0,  Move 20 Entropy: 27.1
Variant number: 13,  Outcomes: White win: 29%,  Draw: 44%,  Black win: 27%,  Move 5 Entropy: 9.5,  Move 10 Entropy: 14.5,  Move 20 Entropy: 26.3
Variant number: 14,  Outcomes: White win: 26%,  Draw: 52%,  Black win: 22%,  Move 5 Entropy: 10.1,  Move 10 Entropy: 12.8,  Move 20 Entropy: 18.9
Variant number: 15,  Outcomes: White win: 31%,  Draw: 46%,  Black win: 22%,  Move 5 Entropy: 8.5,  Move 10 Entropy: 11.2,  Move 20 Entropy: 23.7
